opp,year,opp_avg,opp_league,league_average,multiplier
STL,2017,89.30600991490100,NL,99.903595,1.11866597886522
TBR,2017,101.80773885921600,AL,100.170267,0.983916037448977
TEX,2017,89.26921654198,AL,100.170267,1.12211432877193
TOR,2017,104.43226075678500,AL,100.170267,0.959188916088766
WSN,2017,97.95464059382400,NL,99.903595,1.01989649897505
ARI,2018,96.73888071974900,NL,100.017918,1.03389575376368
ATL,2018,111.11457312321500,NL,100.017918,0.900133215551214
BAL,2018,116.91728428157300,AL,100.558756,0.860084602699319
BOS,2018,84.90185191273310,AL,100.558756,1.18441180886561
CHC,2018,102.85070870161300,NL,100.017918,0.972457256373105
CHW,2018,134.06400837831600,AL,100.558756,0.750080183461565
CIN,2018,100.2633757249950,NL,100.017918,0.997551870528794
CLE,2018,78.11393390604770,AL,100.558756,1.28733442257495
COL,2018,103.25919462412200,NL,100.017918,0.968610285641674
DET,2018,120.2892408040120,AL,100.558756,0.8359746501671
HOU,2018,88.8170854230449,AL,100.558756,1.13220058416721
KCR,2018,115.09041426023100,AL,100.558756,0.873737023594567
LAA,2018,88.05678623133720,AL,100.558756,1.14197622129677
LAD,2018,76.35058871994260,NL,100.017918,1.30998227619266
MIA,2018,114.38708279202700,NL,100.017918,0.874381228707858
MIL,2018,98.03440650772660,NL,100.017918,1.02023280971377
MIN,2018,99.2828348083607,AL,100.558756,1.01285137752263
NYM,2018,105.10018802688700,NL,100.017918,0.951643568652923
NYY,2018,81.62401963480960,AL,100.558756,1.23197505403318
OAK,2018,79.4982295626575,AL,100.558756,1.26491818186647
PHI,2018,97.90826395731810,NL,100.017918,1.02154725206446
PIT,2018,97.08216694990780,NL,100.017918,1.03023985910416
SDP,2018,108.08830872093400,NL,100.017918,0.925335211398576
SEA,2018,100.3866674207460,AL,100.558756,1.00171425731798
SFG,2018,111.97293668300400,NL,100.017918,0.893232962918096
STL,2018,85.79653173257420,NL,100.017918,1.16575712304728
TBR,2018,120.15338733083000,AL,100.558756,0.836919859139067
TEX,2018,103.80672613075900,AL,100.558756,0.96871137110453
TOR,2018,95.98891869144900,AL,100.558756,1.0476079673659
WSN,2018,90.01986826470020,NL,100.017918,1.1110649229779
ARI,2019,101.23819063247800,NL,100.210106,0.989844893255647
ATL,2019,83.42559617307910,NL,100.210106,1.20119136807963
BAL,2019,115.01144968328100,AL,100.484075,0.873687578729887
BOS,2019,100.05852507733100,AL,100.484075,1.00425301014921
CHC,2019,89.00776822383600,NL,100.210106,1.1258579784631
